name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,owners_rank,appid
"Filthy, Stinking, Orcs!",2017-04-21,0.50962,Winding Way Games,Winding Way Games,windows,-0.51125,Single-player;Steam Achievements;Steam Cloud,Action;Indie;Strategy,Action;Indie;Strategy,-0.51927,-0.5927,-0.59287,-0.60557,-0.60643,0-20000,0.98384,11.0,590560
Paper Quest,2017-03-24,0.50962,BC,BC,windows,-0.51125,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Casual,Casual;Action;Adventure,-0.44118,-0.59568,-0.61634,-0.60557,-0.60643,0-20000,-0.89147,11.0,590570
Dragon of Legends,2017-12-15,0.50962,Thrive Games,Thrive Games,windows,-0.51125,Single-player,Action;Adventure;Indie;RPG;Early Access,Early Access;Action;Adventure,-0.70668,-0.59151,-0.57526,-0.60557,-0.60643,0-20000,0.4823,11.0,590580
Remnants of Naezith,2018-02-05,0.50962,Tolga Ay,Tolga Ay,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Indie,Indie;Action;2D,-0.36309,-0.43672,-0.60167,-0.60557,-0.60643,0-20000,0.24244,11.0,590590
LifeBase,2017-03-23,0.50962,Patryk Szuberla,Patryk Szuberla,windows,-0.51125,Single-player,Action;Casual;Indie;Simulation;Early Access,Early Access;Indie;Casual,-0.70668,-0.59508,-0.61341,-0.60557,-0.60643,0-20000,0.853,11.0,590600
Shop Tycoon The Boss,2018-07-31,0.50962,JNA Game,JNA Game,windows,-0.51125,Single-player,Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,-0.70668,-0.5933,-0.60167,-0.60557,-0.60643,0-20000,-0.45535,11.0,590660
Sprint Vector,2018-02-08,0.50962,Survios,Survios,windows,-0.51125,Single-player;Online Multi-Player;Cross-Platform Multiplayer,Action;Indie;Racing;Sports,Racing;Sports;Skating,0.05858,-0.3492,-0.45788,-0.52876,-0.52754,20000-50000,3.68777,10.0,590690
Cobalt WASD,2017-12-01,0.50962,Oxeye Game Studio,Mojang,windows,-0.51125,Single-player;Online Multi-Player,Action;Indie,Action;Indie;Multiplayer,-0.70668,-0.53614,-0.56059,-0.60557,-0.60643,0-20000,-0.23729,11.0,590720
Vectonic,2017-02-14,0.50962,@YearOfTheBob,@YearOfTheBob,windows;mac,-0.51125,Multi-player;Local Multi-Player;Shared/Split Screen;Full controller support;Steam Trading Cards,Action;Indie,Action;Indie,-0.70668,-0.5927,-0.61341,-0.60557,-0.60643,0-20000,-1.3254,11.0,590770
Pixel Stories of Dungeon,2018-05-07,0.50962,PowerGaelic,PowerGaelic,windows,-0.51125,Single-player;Steam Achievements;Full controller support,Adventure;Indie;RPG,Adventure;RPG;Indie,-0.56612,-0.59211,-0.61341,-0.60557,-0.60643,0-20000,-0.19368,11.0,590820
Attack of the Giant Mutant Lizard,2019-01-26,0.50962,Medicated Games,Medicated Games,windows;mac;linux,-0.51125,Single-player;Steam Achievements,Action;Casual;Indie;Early Access,Early Access;Action;Indie,-0.64421,-0.59091,-0.61928,-0.60557,-0.60643,0-20000,-0.95688,11.0,590840
Planetoid,2017-02-24,0.50962,GameWriterStudio,GameWriterStudio,windows,-0.51125,Single-player;Steam Trading Cards,Action;Adventure;Indie;Strategy,Indie;Strategy;Action,-0.70668,-0.58853,-0.58993,-0.60557,-0.60643,20000-50000,-0.89147,10.0,590870
炎黄战纪之三国烽烟,2018-01-31,-26.49217,上海班图网络科技有限公司,上海班图网络科技有限公司,windows,-0.51125,Online Multi-Player;Steam Achievements;Steam Trading Cards;In-App Purchases;Stats,Free to Play;Indie;Strategy,Free to Play;Strategy;Indie,-0.16006,-0.48792,-0.37277,-0.60557,-0.60643,50000-100000,-1.3254,9.0,590910
Split Of Knight,2017-11-10,0.50962,H-GAME,H-GAME,windows,-0.51125,Single-player,Nudity;RPG,Nudity;RPG;Anime,-0.70668,-0.58556,-0.60754,-0.60557,-0.60643,0-20000,-0.95688,11.0,590940
Toaster Jam,2018-11-14,0.50962,SnoutUp,SnoutUp,windows,-0.51125,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Stats;Includes level editor,Casual;Indie,Indie;Casual;Arcade,-0.37871,-0.57722,-0.61634,-0.60557,-0.60643,0-20000,-0.89147,11.0,590950
Hollow,2017-11-16,0.50962,MMEU,Forever Entertainment S. A.,windows,-0.51125,Single-player;Steam Achievements;Full controller support,Nudity;Violent;Gore;Action;Adventure;Indie,Horror;Gore;Nudity,-0.285,-0.54269,-0.23191,-0.60557,-0.60643,0-20000,1.9433,11.0,590970
Deep Sixed,2018-02-12,0.50962,"LRDGames, Inc.","LRDGames, Inc.",windows;mac;linux,-0.51125,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie;Simulation;Strategy,Action;Indie;Simulation,-0.42556,-0.55341,-0.59287,-0.60557,-0.60643,0-20000,0.91842,11.0,591000
Space Ripper,2017-02-15,0.50962,Rumata Lab,Dagestan Technology,windows,-0.51125,Single-player;Steam Achievements;Steam Trading Cards,Action;Casual;Indie,Casual;Action;Indie,-0.4568,-0.57901,-0.60167,0.5263,0.61842,20000-50000,-0.6298,10.0,591010
Undead Hunter,2017-05-27,0.50962,Gameplay Ltd.,Gameplay Ltd.,windows;mac,-0.51125,Single-player;Steam Achievements;Steam Trading Cards;Stats,Action;Adventure;Indie,Action;Adventure;Indie,-0.14445,-0.59151,-0.60167,0.48992,0.51877,20000-50000,-0.6298,10.0,591080
Bestseller: Curse of the Golden Owl,2017-10-07,0.50962,ECC GAMES SP. Z O.O.,ECC GAMES SP. Z O.O.,windows;mac,-0.51125,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Match 3,-0.58174,-0.59508,-0.61928,-0.60557,-0.60643,0-20000,0.19883,11.0,591090
Bunny Madness Anarchy,2017-08-31,0.50962,MeepHead LLC,MeepHead LLC,windows,-0.51125,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Violent;Gore;Action;Indie,Action;Indie;Gore,-0.39433,-0.59389,-0.61048,-0.60557,-0.60643,0-20000,1.9433,11.0,591130
Disc League,2017-05-17,0.50962,Virtually Invincible LLC,Virtually Invincible LLC,windows,-0.51125,Single-player;Multi-player;Online Multi-Player;Local Multi-Player,Action;Indie;Sports;Early Access,Early Access;Action;Indie,-0.70668,-0.59508,-0.61928,-0.60557,-0.60643,0-20000,1.9433,11.0,591140
